orders,batch_size,steps_per_epoch,epochs,learning_rate,learning_decay_rate,rotation_range
587,8,40,40,0.0001,0.0,180
588,8,40,60,0.0001,0.0,180
589,8,40,60,0.0001,1e-06,180
590,8,40,60,0.0001,8e-06,180
590,8,40,60,4.5e-05,1e-07,180
592,8,40,60,4.6e-05,2e-07,90
592,8,60,60,4.6e-05,2e-07,90
593,8,60,60,4.6e-05,2e-07,90
594,8,30,80,4.2e-05,2e-07,90
596,8,100,60,4.2e-05,2e-07,90
597,8,36,60,4.4e-05,1e-07,90
598,8,36,100,4.4e-05,1e-07,90
598,8,36,120,4.4e-05,1e-07,90
598,8,36,200,4.4e-05,1e-07,90
598,16,18,200,4.4e-05,1e-07,90
599,16,18,60,4.4e-05,1e-07,90
599,16,36,120,6.4e-05,8e-06,90
600,16,48,120,0.00044,3.2e-05,90
601,16,36,80,0.00044,8e-06,90
601,16,36,80,0.00044,8e-06,90
601,16,36,80,0.00044,8e-06,90
602,16,36,80,0.00048,8e-06,90
601,16,36,100,0.00044,4e-06,90
601,16,36,100,0.00044,4e-06,90
604,16,40,100,0.00044,8e-06,90
605,16,40,100,0.00044,8e-06,90
606,16,40,100,0.00048,1.2e-05,90
607,16,40,100,0.00052,1.6e-05,90
608,16,40,100,0.00056,2e-05,90
609,16,40,100,0.00048,8e-06,90
610,16,40,100,0.00052,1.2e-05,90
611,16,40,100,0.00056,8e-06,90
612,16,40,100,0.0006,1.6e-05,90
613,16,40,100,0.00064,2e-05,90
614,16,40,100,4.4e-05,8e-07,90
615,16,40,100,4.6e-05,8e-07,90
616,16,40,100,4.8e-05,8e-07,90
617,16,40,100,5e-05,8e-07,90
618,16,40,100,6e-05,8e-07,90
619,16,40,100,0.00012,8e-06,90
620,16,40,100,0.00014,8e-06,90
621,16,36,80,0.00044,8e-06,90
622,16,36,80,0.00044,8e-06,90
623,16,36,80,0.00044,8e-06,90
624,16,40,80,0.00044,8e-06,90
625,16,40,80,0.00044,8e-06,90
626,16,40,80,0.00044,8e-06,90
626,16,80,80,0.00044,1e-05,90
605,16,60,120,0.00044,8e-06,90
606,16,60,120,0.00048,1.2e-05,90
607,16,60,120,0.00052,1.6e-05,90
608,16,60,120,0.00056,2e-05,90
609,16,60,120,0.00048,8e-06,90
610,16,60,120,0.00052,1.2e-05,90
611,16,60,120,0.00056,8e-06,90
612,16,60,120,0.0006,1.6e-05,90
613,16,60,120,0.00064,2e-05,90
614,16,60,120,4.4e-05,8e-07,90
615,16,60,120,4.6e-05,8e-07,90
616,16,60,120,4.8e-05,8e-07,90
617,16,60,120,5e-05,8e-07,90
618,16,60,120,6e-05,8e-07,90
619,16,60,120,0.00012,8e-06,90
620,16,60,120,0.00014,8e-06,90
621,16,60,120,0.00044,8e-06,90
622,16,60,120,0.00044,8e-06,90
601,16,60,120,0.00044,8e-06,90
601,16,60,120,0.00044,8e-06,90
601,16,60,120,0.00044,8e-06,90
601,16,60,120,0.00044,8e-06,90
601,16,60,120,0.00044,8e-06,90
615,16,60,120,0.00044,8e-06,90
616,16,60,120,0.00048,1.2e-05,90
617,16,60,120,0.00052,1.6e-05,90
618,16,60,120,0.00056,2e-05,90
619,16,60,120,0.00048,8e-06,90
620,16,60,120,0.00052,1.2e-05,90
621,16,60,120,0.00056,8e-06,90
622,16,60,120,0.0006,1.6e-05,90
623,16,60,120,0.00064,2e-05,90
624,16,60,120,4.4e-05,8e-07,90
625,16,60,120,4.6e-05,8e-07,90
626,16,60,120,4.8e-05,8e-07,90
627,16,60,120,5e-05,8e-07,90
628,16,60,120,6e-05,8e-07,90
629,16,60,120,0.00012,8e-06,90
630,16,60,120,0.00014,8e-06,90
630,16,60,80,0.00044,8e-06,90
631,16,60,80,0.00044,8e-06,90
632,16,60,80,0.00054,8e-06,90
633,16,60,80,0.00064,8e-06,90
634,16,60,80,0.00044,8e-05,90
635,16,60,80,0.00054,8e-05,90
636,16,60,80,0.00064,8e-06,90
637,16,60,80,0.00046,8e-06,90
638,16,60,80,0.00048,8e-06,90
639,16,60,80,0.0005,8e-06,90
640,16,60,80,0.00034,8e-06,90
631,16,60,80,0.00044,8e-06,180
632,16,60,80,0.00084,8e-06,180
633,16,60,80,0.00104,8e-05,180
641,16,60,80,0.00044,8e-05,180
